key1,key2,a_name,b_status,b_memo
00000171,00000252,SAMPLE-A-0000171,DONE,MEMO-94636
00000008,00000167,SAMPLE-A-0000008,DONE,MEMO-29750
00000026,00000037,SAMPLE-A-0000026,DONE,MEMO-71639
00000018,00000611,SAMPLE-A-0000018,VOID,MEMO-21838
00000138,00000185,SAMPLE-A-0000138,OPEN,MEMO-94108
00000113,00000759,SAMPLE-A-0000113,HOLD,MEMO-53412
00000121,00000620,SAMPLE-A-0000121,OPEN,MEMO-92914
00000043,00000656,SAMPLE-A-0000043,VOID,MEMO-28808
00000013,00000813,SAMPLE-A-0000013,HOLD,MEMO-41031
00000193,00000961,SAMPLE-A-0000193,VOID,MEMO-71792
00000058,00000544,SAMPLE-A-0000058,OPEN,MEMO-26695
00000073,00000997,SAMPLE-A-0000073,HOLD,MEMO-50856
00000059,00000580,SAMPLE-A-0000059,DONE,MEMO-61007
00000026,00000867,SAMPLE-A-0000026,VOID,MEMO-18809
00000025,00000441,SAMPLE-A-0000025,DONE,MEMO-02695
00000101,00000199,SAMPLE-A-0000101,DONE,MEMO-08402
00000007,00000773,SAMPLE-A-0000007,VOID,MEMO-63432
00000059,00000782,SAMPLE-A-0000059,OPEN,MEMO-09473
00000019,00000217,SAMPLE-A-0000019,DONE,MEMO-97576
00000009,00000661,SAMPLE-A-0000009,VOID,MEMO-15880
00000117,00000948,SAMPLE-A-0000117,VOID,MEMO-59840
00000061,00000235,SAMPLE-A-0000061,OPEN,MEMO-63228
00000103,00000522,SAMPLE-A-0000103,DONE,MEMO-70827
00000025,00000096,SAMPLE-A-0000025,OPEN,MEMO-14405
00000054,00000244,SAMPLE-A-0000054,HOLD,MEMO-34845
00000003,00000531,SAMPLE-A-0000003,VOID,MEMO-22507
00000032,00000262,SAMPLE-A-0000032,DONE,MEMO-36405
00000018,00000123,SAMPLE-A-0000018,DONE,MEMO-46400
00000169,00000706,SAMPLE-A-0000169,HOLD,MEMO-71283
00000003,00000715,SAMPLE-A-0000003,DONE,MEMO-46731
00000003,00000150,SAMPLE-A-0000003,DONE,MEMO-99224
00000011,00000724,SAMPLE-A-0000011,VOID,MEMO-48588
00000005,00000159,SAMPLE-A-0000005,OPEN,MEMO-54648
00000082,00000594,SAMPLE-A-0000082,OPEN,MEMO-71580
00000125,00000168,SAMPLE-A-0000125,DONE,MEMO-28213
00000057,00000742,SAMPLE-A-0000057,DONE,MEMO-75090
00000027,00000316,SAMPLE-A-0000027,VOID,MEMO-72237
00000153,00000603,SAMPLE-A-0000153,VOID,MEMO-29194
00000182,00000047,SAMPLE-A-0000182,VOID,MEMO-12939
00000017,00000334,SAMPLE-A-0000017,VOID,MEMO-37950
00000043,00000621,SAMPLE-A-0000043,HOLD,MEMO-53401
00000004,00000926,SAMPLE-A-0000004,VOID,MEMO-23521
00000031,00000361,SAMPLE-A-0000031,OPEN,MEMO-19730
00000202,00000648,SAMPLE-A-0000202,DONE,MEMO-32604
00000208,00000509,SAMPLE-A-0000208,OPEN,MEMO-12447
00000022,00000518,SAMPLE-A-0000022,DONE,MEMO-04659
00000005,00000379,SAMPLE-A-0000005,HOLD,MEMO-68190
00000055,00000240,SAMPLE-A-0000055,OPEN,MEMO-36861
00000086,00000388,SAMPLE-A-0000086,DONE,MEMO-85929
00000106,00000962,SAMPLE-A-0000106,VOID,MEMO-18806
00000032,00000536,SAMPLE-A-0000032,OPEN,MEMO-96132
00000008,00000823,SAMPLE-A-0000008,OPEN,MEMO-51360
00000005,00000684,SAMPLE-A-0000005,VOID,MEMO-30573
00000050,00000258,SAMPLE-A-0000050,HOLD,MEMO-74929
00000054,00000545,SAMPLE-A-0000054,HOLD,MEMO-67909
00000161,00000267,SAMPLE-A-0000161,DONE,MEMO-72889
00000002,00000841,SAMPLE-A-0000002,OPEN,MEMO-95121
00000111,00000989,SAMPLE-A-0000111,DONE,MEMO-15686
00000033,00000276,SAMPLE-A-0000033,OPEN,MEMO-48550
00000012,00000850,SAMPLE-A-0000012,DONE,MEMO-64068
00000709,00000155,SAMPLE-A-0000709,OPEN,MEMO-37329
00000157,00000442,SAMPLE-A-0000157,DONE,MEMO-08642
