key1,key2,a_name,b_status,処理済み
00000171,00000252,SAMPLE-A-0000171,DONE,FALSE
00000008,00000167,SAMPLE-A-0000008,DONE,FALSE
00000026,00000037,SAMPLE-A-0000026,DONE,FALSE
00000018,00000611,SAMPLE-A-0000018,VOID,FALSE
00000138,00000185,SAMPLE-A-0000138,OPEN,FALSE
00000113,00000759,SAMPLE-A-0000113,HOLD,FALSE
00000121,00000620,SAMPLE-A-0000121,OPEN,FALSE
00000043,00000656,SAMPLE-A-0000043,VOID,FALSE
00000013,00000813,SAMPLE-A-0000013,HOLD,FALSE
00000193,00000961,SAMPLE-A-0000193,VOID,FALSE
00000058,00000544,SAMPLE-A-0000058,OPEN,FALSE
00000073,00000997,SAMPLE-A-0000073,HOLD,FALSE
00000059,00000580,SAMPLE-A-0000059,DONE,FALSE
00000026,00000867,SAMPLE-A-0000026,VOID,FALSE
00000025,00000441,SAMPLE-A-0000025,DONE,FALSE
00000101,00000199,SAMPLE-A-0000101,DONE,FALSE
00000007,00000773,SAMPLE-A-0000007,VOID,FALSE
00000059,00000782,SAMPLE-A-0000059,OPEN,FALSE
00000019,00000217,SAMPLE-A-0000019,DONE,FALSE
00000009,00000661,SAMPLE-A-0000009,VOID,FALSE
00000117,00000948,SAMPLE-A-0000117,VOID,FALSE
00000061,00000235,SAMPLE-A-0000061,OPEN,FALSE
00000103,00000522,SAMPLE-A-0000103,DONE,FALSE
00000025,00000096,SAMPLE-A-0000025,OPEN,FALSE
00000054,00000244,SAMPLE-A-0000054,HOLD,FALSE
00000003,00000531,SAMPLE-A-0000003,VOID,FALSE
00000032,00000262,SAMPLE-A-0000032,DONE,FALSE
00000018,00000123,SAMPLE-A-0000018,DONE,FALSE
00000169,00000706,SAMPLE-A-0000169,HOLD,FALSE
00000003,00000715,SAMPLE-A-0000003,DONE,FALSE
00000003,00000150,SAMPLE-A-0000003,DONE,FALSE
00000011,00000724,SAMPLE-A-0000011,VOID,FALSE
00000005,00000159,SAMPLE-A-0000005,OPEN,FALSE
00000082,00000594,SAMPLE-A-0000082,OPEN,FALSE
00000125,00000168,SAMPLE-A-0000125,DONE,FALSE
00000057,00000742,SAMPLE-A-0000057,DONE,FALSE
00000027,00000316,SAMPLE-A-0000027,VOID,FALSE
00000153,00000603,SAMPLE-A-0000153,VOID,FALSE
00000182,00000047,SAMPLE-A-0000182,VOID,FALSE
00000017,00000334,SAMPLE-A-0000017,VOID,FALSE
00000043,00000621,SAMPLE-A-0000043,HOLD,FALSE
00000004,00000926,SAMPLE-A-0000004,VOID,FALSE
00000031,00000361,SAMPLE-A-0000031,OPEN,FALSE
00000202,00000648,SAMPLE-A-0000202,DONE,FALSE
00000208,00000509,SAMPLE-A-0000208,OPEN,FALSE
00000022,00000518,SAMPLE-A-0000022,DONE,FALSE
