key2,b_ref
00000346,REF-00000483
00000633,REF-00000477
00000920,REF-00000663
00000207,REF-00000100
00000494,REF-00000018
00000781,REF-00000253
00000068,REF-00000399
00000355,REF-00000334
00000642,REF-00000570
00000929,REF-00000302
00000216,REF-00000115
00000503,REF-00000103
00000790,REF-00000034
00000077,REF-00000127
00000364,REF-00000043
00000651,REF-00000045
00000938,REF-00000121
00000225,REF-00000126
00000512,REF-00000638
00000799,REF-00000009
00000086,REF-00000102
00000373,REF-00000092
00000660,REF-00000193
00000947,REF-00000598
00000234,REF-00000267
00000521,REF-00000379
00000808,REF-00000058
00000095,REF-00000576
00000382,REF-00000171
00000669,REF-00000007
00000956,REF-00000095
00000243,REF-00000153
00000530,REF-00000535
00000817,REF-00000113
00000104,REF-00000279
00000391,REF-00000017
00000678,REF-00000068
00000965,REF-00000313
00000539,REF-00000479
00000826,REF-00000322
00000113,REF-00000607
00000400,REF-00000327
00000687,REF-00000551
00000974,REF-00000406
00000261,REF-00000432
00000548,REF-00000484
00000122,REF-00001009
00000409,REF-00000238
00000696,REF-00000540
00000983,REF-00000566
00000270,REF-00000026
00000557,REF-00000455
00000844,REF-00000008
00000131,REF-00000443
00000418,REF-00000231
00000705,REF-00000200
00000992,REF-00000059
00000279,REF-00000666
00000566,REF-00000012
00000853,REF-00000119
00000140,REF-00000630
00000427,REF-00000646
00000714,REF-00000016
00000001,REF-00000180
00000288,REF-00000106
00000575,REF-00000657
00000862,REF-00000013
00000149,REF-00000605
00000436,REF-00000093
00000723,REF-00000450
00000010,REF-00000325
00000297,REF-00000573
00000584,REF-00000595
00000871,REF-00000349
00000158,REF-00000003
00000445,REF-00000518
00000732,REF-00000528
00000019,REF-00000624
00000306,REF-00001003
00000593,REF-00000275
00000880,REF-00000073
00000454,REF-00000138
00000741,REF-00000116
00000028,REF-00000117
00000315,REF-00000515
00000602,REF-00000181
00000889,REF-00000689
00000176,REF-00000122
00000463,REF-00000293
00000750,REF-00000033
00000324,REF-00000548
00000898,REF-00000658
00000472,REF-00000011
00000046,REF-00000594
00000333,REF-00000054
00000194,REF-00000271
00000481,REF-00000696
00000768,REF-00000101
00000055,REF-00000348
00000342,REF-00000698
00000629,REF-00000132
00000916,REF-00000462
00000203,REF-00000164
00000490,REF-00000584
00000777,REF-00000170
00000064,REF-00000046
00000351,REF-00000326
00000638,REF-00000377
00000925,REF-00000382
00000212,REF-00000142
00000499,REF-00000076
00000786,REF-00000064
00000073,REF-00000386
00000360,REF-00000371
00000647,REF-00000025
00000934,REF-00000301
00000221,REF-00000360
00000508,REF-00000618
00000795,REF-00000027
00000082,REF-00000146
00000369,REF-00000656
00000943,REF-00000179
00000230,REF-00000104
00000517,REF-00000276
00000091,REF-00000691
00000378,REF-00000530
00000665,REF-00000446
00000952,REF-00000571
00000239,REF-00000234
00000526,REF-00000351
