key1,a_code,a_name,a_grade,a_date,a_amount,a_rate,a_flag,a_dept,a_note
00000001,A64579,SAMPLE-A-0000001,A2,20231203,8464697,0.5779,Y,D613,NOTE-47180
00000002,A09468,SAMPLE-A-0000002,C1,20230320,0219534,0.1607,N,D592,NOTE-69547
00000003,A79943,SAMPLE-A-0000003,B2,20241115,3831459,0.6453,Y,D408,NOTE-19033
00000004,A20256,SAMPLE-A-0000004,A2,20251225,9325536,0.7588,N,D610,NOTE-63857
00000005,A44104,SAMPLE-A-0000005,A2,20250120,7012980,0.8204,N,D869,NOTE-14968
00000006,A59612,SAMPLE-A-0000006,B1,20251025,9961375,0.3755,Y,D672,NOTE-09077
00000007,A87545,SAMPLE-A-0000007,C1,20230103,1715194,0.1970,N,D665,NOTE-70261
00000008,A97542,SAMPLE-A-0000008,C1,20230315,8691285,0.6472,N,D762,NOTE-26235
00000009,A19223,SAMPLE-A-0000009,B1,20230201,7155632,0.7449,Y,D070,NOTE-90975
00000010,A93955,SAMPLE-A-0000010,B2,20230504,3622755,0.9262,N,D579,NOTE-30780
00000011,A46575,SAMPLE-A-0000011,C1,20251017,7293177,0.7230,N,D108,NOTE-11786
00000012,A09627,SAMPLE-A-0000012,C1,20231208,2630945,0.4587,Y,D640,NOTE-58741
00000013,A37928,SAMPLE-A-0000013,A2,20230603,0014854,0.7082,N,D579,NOTE-50456
00000014,A68997,SAMPLE-A-0000014,C1,20230122,3906424,0.6882,N,D976,NOTE-60754
00000015,A77414,SAMPLE-A-0000015,C1,20251006,5725264,0.1403,N,D378,NOTE-49812
00000016,A52903,SAMPLE-A-0000016,B2,20240814,3969262,0.1596,N,D568,NOTE-85655
00000017,A30543,SAMPLE-A-0000017,B2,20230220,1328810,0.3764,N,D292,NOTE-17249
00000018,A73964,SAMPLE-A-0000018,C1,20250207,3279721,0.1882,N,D169,NOTE-11728
00000019,A85284,SAMPLE-A-0000019,A2,20240224,7407887,0.8626,N,D085,NOTE-52532
00000020,A45496,SAMPLE-A-0000020,C1,20250212,2746703,0.9079,Y,D513,NOTE-98684
00000021,A71873,SAMPLE-A-0000021,B2,20240707,0196100,0.6878,Y,D653,NOTE-39143
00000022,A70127,SAMPLE-A-0000022,B1,20250319,8463848,0.4198,N,D889,NOTE-68738
00000023,A12840,SAMPLE-A-0000023,B2,20240124,0283681,0.4439,Y,D374,NOTE-95425
00000024,A23165,SAMPLE-A-0000024,A1,20240902,7406454,0.2907,Y,D149,NOTE-99626
00000025,A44462,SAMPLE-A-0000025,B1,20241018,5118195,0.2970,N,D392,NOTE-17513
00000026,A81850,SAMPLE-A-0000026,B1,20240326,7191989,0.8621,Y,D329,NOTE-30965
00000027,A48189,SAMPLE-A-0000027,A2,20250116,0082989,0.6747,N,D070,NOTE-02205
00000028,A90406,SAMPLE-A-0000028,A2,20230528,5495191,0.8830,N,D062,NOTE-55395
00000029,A65807,SAMPLE-A-0000029,B1,20230424,3010378,0.5655,Y,D917,NOTE-20101
00000030,A62904,SAMPLE-A-0000030,B2,20230325,7212138,0.2913,Y,D833,NOTE-00229
00000031,A15920,SAMPLE-A-0000031,C1,20241201,3810806,0.1385,Y,D728,NOTE-23652
00000032,A59778,SAMPLE-A-0000032,A2,20240107,7527260,0.2239,Y,D830,NOTE-53100
00000033,A52390,SAMPLE-A-0000033,A1,20240203,4777305,0.7558,N,D163,NOTE-66742
00000034,A20924,SAMPLE-A-0000034,B1,20250807,1755918,0.1657,Y,D815,NOTE-68037
00000035,A88803,SAMPLE-A-0000035,A1,20250510,5252446,0.6783,Y,D934,NOTE-59137
00000036,A19116,SAMPLE-A-0000036,A1,20230501,0469928,0.5370,N,D321,NOTE-86699
00000037,A95182,SAMPLE-A-0000037,C1,20230520,8162346,0.2811,Y,D974,NOTE-28145
00000038,A69727,SAMPLE-A-0000038,B1,20250820,1912731,0.8165,Y,D671,NOTE-14010
00000039,A63639,SAMPLE-A-0000039,B1,20231101,3326581,0.0500,Y,D921,NOTE-65686
00000040,A37312,SAMPLE-A-0000040,A2,20230602,0233301,0.8678,N,D935,NOTE-22816
00000041,A68801,SAMPLE-A-0000041,B1,20231202,8573023,0.1231,Y,D709,NOTE-09955
00000042,A47161,SAMPLE-A-0000042,B1,20240825,0330948,0.6080,N,D573,NOTE-40461
00000043,A75251,SAMPLE-A-0000043,C1,20240711,8654699,0.5017,Y,D807,NOTE-89873
00000044,A21170,SAMPLE-A-0000044,B2,20230627,3948736,0.7105,Y,D077,NOTE-49793
00000045,A09891,SAMPLE-A-0000045,B1,20240411,1701493,0.2544,N,D733,NOTE-58007
00000046,A16315,SAMPLE-A-0000046,A2,20230822,5241376,0.0927,Y,D311,NOTE-46489
00000047,A13889,SAMPLE-A-0000047,B1,20251126,6860042,0.6046,N,D062,NOTE-30481
00000048,A98030,SAMPLE-A-0000048,B2,20251128,5312669,0.1242,N,D737,NOTE-77372
00000049,A43056,SAMPLE-A-0000049,A2,20240125,2939688,0.4811,Y,D845,NOTE-52326
00000050,A44011,SAMPLE-A-0000050,A2,20240417,4950492,0.1068,N,D113,NOTE-30587
00000051,A50392,SAMPLE-A-0000051,A2,20230609,8701777,0.6604,Y,D244,NOTE-98842
00000052,A36474,SAMPLE-A-0000052,A2,20251227,3517694,0.7325,Y,D234,NOTE-84379
