key1,key2,b_ref,b_date,b_qty,b_unit,b_total,b_status,b_line,b_memo
00000483,00000346,REF-00000483,20240508,981,02411,02365191,VOID,001,MEMO-35282
00000477,00000633,REF-00000477,20230303,521,83096,43293016,DONE,001,MEMO-02159
00000663,00000920,REF-00000663,20230428,314,54389,17078146,OPEN,001,MEMO-71473
00000100,00000207,REF-00000100,20241208,756,78461,59316516,VOID,001,MEMO-94010
00000018,00000494,REF-00000018,20230203,124,37700,04674800,HOLD,001,MEMO-03878
00000253,00000781,REF-00000253,20250625,644,42743,27526492,VOID,001,MEMO-49290
00000399,00000068,REF-00000399,20240517,206,68785,14169710,VOID,001,MEMO-20566
00000334,00000355,REF-00000334,20240311,126,64762,08160012,DONE,001,MEMO-93395
00000570,00000642,REF-00000570,20230523,876,44703,39159828,OPEN,001,MEMO-34154
00000302,00000929,REF-00000302,20250502,897,08439,07569783,VOID,001,MEMO-61576
00000115,00000216,REF-00000115,20230213,894,63159,56464146,DONE,002,MEMO-66753
00000103,00000503,REF-00000103,20230514,034,66458,02259572,HOLD,002,MEMO-60837
00000034,00000790,REF-00000034,20240626,030,83253,02497590,HOLD,003,MEMO-49333
00000127,00000077,REF-00000127,20230404,367,66452,24387884,OPEN,002,MEMO-66531
00000043,00000364,REF-00000043,20230728,498,77490,38590020,VOID,002,MEMO-92194
00000045,00000651,REF-00000045,20250606,442,32088,14182896,OPEN,003,MEMO-61583
00000121,00000938,REF-00000121,20250611,342,22575,07720650,OPEN,001,MEMO-49982
00000126,00000225,REF-00000126,20230320,827,12114,10018278,VOID,002,MEMO-72063
00000638,00000512,REF-00000638,20240305,678,59870,40591860,HOLD,001,MEMO-63273
00000009,00000799,REF-00000009,20230107,221,57048,12607608,HOLD,005,MEMO-41636
00000102,00000086,REF-00000102,20230406,492,13297,06542124,OPEN,001,MEMO-50002
00000092,00000373,REF-00000092,20231114,729,88569,64566801,VOID,002,MEMO-15255
00000193,00000660,REF-00000193,20240225,269,40092,10784748,HOLD,001,MEMO-26017
00000598,00000947,REF-00000598,20250122,050,62988,03149400,VOID,001,MEMO-94164
00000267,00000234,REF-00000267,20230817,731,83129,60767299,OPEN,001,MEMO-31355
00000379,00000521,REF-00000379,20250118,202,64895,13108790,VOID,001,MEMO-45966
00000058,00000808,REF-00000058,20251204,455,09242,04205110,DONE,003,MEMO-76842
00000576,00000095,REF-00000576,20240301,510,87719,44736690,HOLD,001,MEMO-88552
00000171,00000382,REF-00000171,20241122,446,29446,13132916,DONE,001,MEMO-90036
00000007,00000669,REF-00000007,20251002,605,31797,19237185,VOID,004,MEMO-20149
00000095,00000956,REF-00000095,20231222,710,26533,18838430,OPEN,001,MEMO-01184
00000153,00000243,REF-00000153,20251006,211,23727,05006397,HOLD,002,MEMO-04516
00000535,00000530,REF-00000535,20231127,938,70308,65948904,VOID,001,MEMO-12001
00000113,00000817,REF-00000113,20231107,976,64321,62777296,VOID,002,MEMO-15087
00000279,00000104,REF-00000279,20240620,614,29412,18058968,HOLD,001,MEMO-76908
00000017,00000391,REF-00000017,20230528,215,64384,13842560,HOLD,002,MEMO-28344
00000068,00000678,REF-00000068,20240517,418,00890,00372020,VOID,001,MEMO-90445
00000313,00000965,REF-00000313,20240114,996,07779,07747884,VOID,001,MEMO-85256
00000171,00000252,REF-00000171,20251111,402,25384,10204368,DONE,002,MEMO-94636
00000479,00000539,REF-00000479,20240906,157,07905,01241085,VOID,001,MEMO-50677
00000322,00000826,REF-00000322,20230117,424,25577,10844648,OPEN,001,MEMO-74171
00000607,00000113,REF-00000607,20251117,806,77658,62592348,HOLD,001,MEMO-04108
00000327,00000400,REF-00000327,20251225,077,72322,05568794,HOLD,001,MEMO-33805
00000551,00000687,REF-00000551,20250321,371,31234,11587814,OPEN,001,MEMO-76406
00000406,00000974,REF-00000406,20231128,820,08136,06671520,VOID,001,MEMO-95111
00000432,00000261,REF-00000432,20250505,779,23123,18012817,VOID,001,MEMO-83130
00000484,00000548,REF-00000484,20231012,284,63720,18096480,DONE,001,MEMO-49037
00000230,,REF-00000230,20230105,191,69080,13194280,HOLD,001,MEMO-05414
00001009,00000122,REF-00001009,20240611,629,89289,56162781,OPEN,001,MEMO-69355
00000238,00000409,REF-00000238,20251126,416,35903,14935648,OPEN,001,MEMO-74958
00000540,00000696,REF-00000540,20231006,207,90551,18744057,DONE,001,MEMO-49292
00000566,00000983,REF-00000566,20250201,953,47038,44827214,VOID,001,MEMO-24169
00000026,00000270,REF-00000026,20241017,545,06771,03690195,OPEN,001,MEMO-81239
00000455,00000557,REF-00000455,20230706,233,32079,07474407,VOID,001,MEMO-92641
00000008,00000844,REF-00000008,20241220,584,58267,34027928,DONE,004,MEMO-49833
00000443,00000131,REF-00000443,20241105,938,15247,14301686,DONE,001,MEMO-33424
00000231,00000418,REF-00000231,20230822,607,50135,30431945,OPEN,001,MEMO-18712
00000200,00000705,REF-00000200,20241108,783,48827,38231541,DONE,002,MEMO-69341
00000059,00000992,REF-00000059,20250312,701,08209,05754509,HOLD,002,MEMO-46331
00000666,00000279,REF-00000666,20240327,896,41775,37430400,DONE,001,MEMO-14641
00000012,00000566,REF-00000012,20231114,754,85882,64755028,OPEN,002,MEMO-22202
00000119,00000853,REF-00000119,20250616,020,61863,01237260,OPEN,001,MEMO-21140
00000630,00000140,REF-00000630,20250816,549,24670,13543830,DONE,001,MEMO-97884
00000646,00000427,REF-00000646,20230416,185,48669,09003765,OPEN,001,MEMO-17766
00000016,00000714,REF-00000016,20240126,182,81196,14777672,OPEN,001,MEMO-86068
00000180,00000001,REF-00000180,20240803,371,47422,17593562,VOID,001,MEMO-94012
00000106,00000288,REF-00000106,20250302,408,60625,24735000,HOLD,001,MEMO-91953
00000657,00000575,REF-00000657,20241001,093,55158,05129694,OPEN,001,MEMO-28706
00000013,00000862,REF-00000013,20250110,607,29053,17635171,VOID,001,MEMO-91083
00000605,00000149,REF-00000605,20230406,672,92725,62311200,VOID,001,MEMO-39699
00000093,00000436,REF-00000093,20250606,005,94600,00473000,HOLD,002,MEMO-57090
00000450,00000723,REF-00000450,20241123,839,18023,15121297,DONE,001,MEMO-38059
00000325,00000010,REF-00000325,20250715,676,15215,10285340,OPEN,001,MEMO-16842
00000573,00000297,REF-00000573,20231209,443,28449,12602907,OPEN,001,MEMO-04549
00000595,00000584,REF-00000595,20250516,180,82244,14803920,VOID,001,MEMO-16128
00000349,00000871,REF-00000349,20241020,711,45402,32280822,HOLD,001,MEMO-65822
00000003,00000158,REF-00000003,20251028,680,66069,44926920,OPEN,003,MEMO-84433
00000518,00000445,REF-00000518,20240420,224,18093,04052832,VOID,001,MEMO-16184
00000528,00000732,REF-00000528,20241010,615,90526,55673490,HOLD,001,MEMO-48280
00000624,00000019,REF-00000624,20240417,824,86361,71161464,DONE,001,MEMO-29341
00001003,00000306,REF-00001003,20250910,185,34145,06316825,VOID,001,MEMO-04239
00000275,00000593,REF-00000275,20241116,710,21252,15088920,DONE,001,MEMO-13986
00000073,00000880,REF-00000073,20250520,166,11550,01917300,VOID,001,MEMO-58893
00000008,00000167,REF-00000008,20230611,746,07701,05744946,DONE,001,MEMO-29750
00000138,00000454,REF-00000138,20230717,556,20442,11365752,OPEN,002,MEMO-74998
00000116,00000741,REF-00000116,20240609,495,71968,35624160,OPEN,001,MEMO-82558
00000117,00000028,REF-00000117,20250223,264,94848,25039872,HOLD,002,MEMO-53228
00000515,00000315,REF-00000515,20230719,805,04912,03954160,VOID,001,MEMO-46115
00000181,00000602,REF-00000181,20230206,604,36758,22201832,DONE,002,MEMO-99376
00000689,00000889,REF-00000689,20240925,832,53897,44842304,OPEN,001,MEMO-21134
00000122,00000176,REF-00000122,20230519,673,10629,07153317,HOLD,002,MEMO-71139
00000293,00000463,REF-00000293,20230109,749,64454,48276046,HOLD,001,MEMO-45744
00000033,00000750,REF-00000033,20231123,652,72642,47362584,VOID,002,MEMO-26866
00000026,00000037,REF-00000026,20251227,427,99791,42610757,DONE,003,MEMO-71639
